,tweet_id,rating_numerator,rating_denominator,name,status,favorite_count,retweet_count,retweeted
660,730427201120833536,11.0,10,Crystal,,3782,1171,False
661,730211855403241472,11.0,10,Ziva,,4157,1178,False
662,729823566028484608,13.0,10,Stefan,,4338,1385,False
663,729463711119904772,13.0,10,Pupcasso,,6315,2573,False
664,728986383096946689,11.0,10,Puff,,3443,911,False
665,728760639972315136,13.0,10,,,5069,1901,False
666,728751179681943552,10.0,10,Flurpson,,3022,754,False
667,728387165835677696,12.0,10,,,3977,1071,False
668,728046963732717569,11.0,10,Raymond,,4697,1318,False
669,728015554473250816,11.0,10,Rueben,pupper,4455,1214,False
670,727685679342333952,12.0,10,Cilantro,,3191,717,False
671,727644517743104000,13.0,10,,doggo,6403,1953,False
672,727524757080539137,10.0,10,,pupper,4872,1374,False
673,727314416056803329,11.0,10,,pupper,3605,831,False
674,727175381690781696,10.0,10,Karll,,4192,1538,False
675,726935089318363137,12.0,10,Sprout,,7470,2731,False
676,726887082820554753,10.0,10,Blitz,,4176,1672,False
677,726828223124897792,12.0,10,Bloop,,3864,1122,False
678,726224900189511680,9.0,10,,,4786,1296,False
679,725842289046749185,12.0,10,Colby,,7658,2955,False
680,725786712245440512,11.0,10,Lillie,"floof,pupper",4511,1520,False
681,725729321944506368,12.0,10,Lola,,5625,1995,False
682,724983749226668032,12.0,10,,,4016,1455,False
683,724771698126512129,11.0,10,,doggo,2581,718,False
684,724405726123311104,10.0,10,Ashleigh,pupper,5772,1841,False
685,724049859469295616,10.0,10,Kreggory,,4708,1977,False
686,724046343203856385,10.0,10,Sarge,,2888,617,False
687,723912936180330496,12.0,10,Sugar,floof,4223,1370,False
688,723688335806480385,12.0,10,Reginald,,8406,3327,False
689,723673163800948736,10.0,10,Ivar,,3279,1004,False
690,722974582966214656,5.666666666666666,10,,,4473,1754,False
691,722613351520608256,12.0,10,Schnitzel,floof,5369,1824,False
692,721503162398597120,11.0,10,Panda,,5066,2117,False
693,721001180231503872,11.0,10,Oliver,pupper,2733,685,False
694,720785406564900865,12.0,10,Archie,,3387,861,False
695,720775346191278080,10.0,10,Berkeley,,2689,754,False
696,720415127506415616,10.0,10,,,4480,1669,False
697,720389942216527872,11.0,10,,,6954,2822,False
698,720059472081784833,9.0,10,Charleson,,4207,1262,False
699,720043174954147842,11.0,10,Neptune,floof,5310,2240,False
700,719991154352222208,10.0,10,,doggo,5249,1968,False
701,719551379208073216,10.0,10,Harnold,,5501,2177,False
702,719339463458033665,10.0,10,,,4793,1393,False
703,719332531645071360,11.0,10,Pippa,,3691,1070,False
704,718971898235854848,10.0,10,Sadie,,3795,1223,False
705,718939241951195136,12.0,10,Otis,,5694,1964,False
706,718631497683582976,10.0,10,,,20628,9060,False
707,718613305783398402,11.0,10,Carper,,2656,539,False
708,718540630683709445,10.0,10,,,2719,1129,False
709,718246886998687744,3.0,10,Alexanderson,,2097,561,False
710,718234618122661888,11.0,10,Suki,,4201,1118,False
711,717841801130979328,11.0,10,Barclay,,2648,666,False
712,717537687239008257,11.0,10,,,6256,2059,False
713,717421804990701568,9.0,10,Ebby,,3429,943,False
714,717047459982213120,12.0,10,,,6799,2128,False
715,717009362452090881,10.0,10,Smokey,pupper,3565,1098,False
716,716802964044845056,10.0,10,Link,,4609,1311,False
717,716791146589110272,11.0,10,Jennifur,,5190,1473,False
718,716439118184652801,10.166666666666666,10,Bluebert,,2562,246,False
719,716285507865542656,12.0,10,Stephanus,,3025,1218,False
720,716080869887381504,11.0,10,,doggo,5252,1926,False
721,715928423106027520,11.0,10,Bubbles,,3470,985,False
722,715733265223708672,10.0,10,,,5070,1908,False
723,715696743237730304,10.0,10,Toby,,4237,1443,False
724,715680795826982913,12.0,10,Zeus,,4699,1808,False
725,715342466308784130,10.0,10,Oscar,,3279,766,False
726,715220193576927233,10.0,10,Nico,,2613,734,False
727,715200624753819648,12.0,10,Michelangelope,,5565,2098,False
728,714982300363173890,9.0,10,Calbert,,4076,1162,False
729,714957620017307648,10.0,10,Curtis,,4487,1588,False
730,714606013974974464,12.0,10,,pupper,3924,1036,False
731,714258258790387713,9.0,10,,,3265,805,False
732,714251586676113411,8.0,10,Thumas,,3552,938,False
733,714214115368108032,13.0,10,,,2471,985,False
734,714141408463036416,10.0,10,,,4657,1560,False
735,713919462244790272,12.0,10,Kanu,,3545,867,False
736,713900603437621249,11.0,10,,pupper,3049,827,False
737,713761197720473600,12.0,10,Piper,,5289,1536,False
738,713411074226274305,11.0,10,,floof,4778,1432,False
739,713177543487135744,10.0,10,Lance,,7817,3167,False
740,712809025985978368,10.0,10,Stubert,,20286,7555,False
741,712717840512598017,10.0,10,,,13412,5591,False
742,712668654853337088,10.0,10,,,4509,1363,False
743,712097430750289920,10.0,10,,,4123,1165,False
744,712085617388212225,11.0,10,,,3515,554,False
745,711743778164514816,11.0,10,Roosevelt,,3086,1097,False
746,711732680602345472,10.0,10,,,9713,4621,False
747,711363825979756544,11.0,10,,,3981,1281,False
748,711008018775851008,11.0,10,Chuckles,pupper,3255,703,False
749,710997087345876993,12.0,10,,,4943,1554,False
750,710833117892898816,12.0,10,Sora,,2928,603,False
751,710658690886586372,10.0,10,,pupper,2513,633,False
752,710283270106132480,11.0,10,Gunner,,2298,578,False
753,710272297844797440,11.0,10,,,4911,1414,False
